run_at,source_id,company,market,seed_url,pages_checked,jobs_found,errors,candidate_job_pages,verified_jobs
2026-08-11T09:50:05.314253+00:00,pwc-cz,PwC,Czechia,https://www.pwc.com/cz/en/kariera.html,1,6.0,,,
2026-08-11T09:50:06.271354+00:00,pwc-de,PwC,Germany,https://www.pwc.de/en/careers.html,1,0.0,https://www.pwc.de/en/careers.html: HTTPError,,
2026-08-11T09:50:06.860023+00:00,pwc-at,PwC,Austria,https://www.pwc.at/en/careers.html,4,20.0,,,
2026-08-11T09:50:13.447640+00:00,pwc-ch,PwC,Switzerland,https://www.pwc.ch/en/careers.html,1,0.0,https://www.pwc.ch/en/careers.html: HTTPError,,
2026-08-11T09:50:14.313887+00:00,pwc-uk,PwC,United Kingdom,https://www.pwc.co.uk/careers.html,4,75.0,,,
2026-08-11T09:50:19.123727+00:00,pwc-nordics,PwC,Nordics,https://www.pwc.com/gx/en/careers.html,1,7.0,,,
2026-08-11T09:50:19.930728+00:00,ey-cz,EY,Czechia,https://www.ey.com/en_cz/careers,3,48.0,,,
2026-08-11T09:50:26.720764+00:00,ey-de,EY,Germany,https://www.ey.com/en_de/careers,1,0.0,https://www.ey.com/en_de/careers: HTTPError,,
2026-08-11T09:50:26.894069+00:00,ey-at,EY,Austria,https://www.ey.com/en_at/careers,1,0.0,https://www.ey.com/en_at/careers: HTTPError,,
2026-08-11T09:50:27.120719+00:00,ey-ch,EY,Switzerland,https://www.ey.com/en_ch/careers,2,46.0,,,
2026-08-11T09:50:31.595286+00:00,ey-uk,EY,United Kingdom,https://www.ey.com/en_uk/careers,2,22.0,,,
2026-08-11T09:50:34.034232+00:00,ey-nordics,EY,Nordics,https://www.ey.com/en_gl/careers,2,41.0,,,
2026-08-11T09:50:36.303214+00:00,deloitte-cz,Deloitte,Czechia,https://www.deloitte.com/cz-sk/en/careers.html,3,40.0,,,
2026-08-11T09:50:42.291210+00:00,deloitte-de,Deloitte,Germany,https://www.deloitte.com/de/de/careers.html,1,29.0,,,
2026-08-11T09:50:42.977298+00:00,deloitte-at,Deloitte,Austria,https://www.deloitte.com/at/de/careers.html,1,18.0,,,
2026-08-11T09:50:43.590582+00:00,deloitte-ch,Deloitte,Switzerland,https://www.deloitte.com/ch/en/careers.html,2,38.0,,,
2026-08-11T09:50:45.098719+00:00,deloitte-uk,Deloitte,United Kingdom,https://www.deloitte.com/uk/en/careers.html,3,39.0,,,
2026-08-11T09:50:49.290690+00:00,deloitte-nordics,Deloitte,Nordics,https://www.deloitte.com/global/en/careers.html,2,18.0,,,
2026-08-11T09:50:50.643157+00:00,kpmg-cz,KPMG,Czechia,https://kpmg.com/cz/en/home/careers.html,2,1.0,,,
2026-08-11T09:50:52.580691+00:00,kpmg-de,KPMG,Germany,https://kpmg.com/de/en/home/careers.html,1,0.0,,,
2026-08-11T09:50:54.024384+00:00,kpmg-at,KPMG,Austria,https://kpmg.com/at/en/home/careers.html,1,0.0,https://kpmg.com/at/en/home/careers.html: HTTPError,,
2026-08-11T09:50:54.777206+00:00,kpmg-ch,KPMG,Switzerland,https://kpmg.com/ch/en/home/careers.html,8,39.0,,,
2026-08-11T09:51:02.240516+00:00,kpmg-uk,KPMG,United Kingdom,https://kpmg.com/uk/en/home/careers.html,2,1.0,,,
2026-08-11T09:51:03.681088+00:00,kpmg-nordics,KPMG,Nordics,https://kpmg.com/xx/en/home/careers.html,1,0.0,https://kpmg.com/xx/en/home/careers.html: HTTPError,,
2026-08-11T19:33:01.792587+00:00,pwc-cz,PwC,Czechia,https://www.pwc.com/cz/en/kariera.html,5,,,0.0,0.0
2026-08-11T19:33:07.876649+00:00,pwc-de,PwC,Germany,https://jobs.pwc.de/de/de/search-results,26,,,0.0,0.0
2026-08-11T19:33:42.257656+00:00,pwc-at,PwC,Austria,https://www.pwc.at/en/careers.html,28,,https://www.pwc.at/en/careers/jobsuche.html: HTTPError,0.0,0.0
2026-08-11T19:34:14.661697+00:00,pwc-ch,PwC,Switzerland,https://www.pwc.ch/en/careers.html,1,,https://www.pwc.ch/en/careers.html: HTTPError,0.0,0.0
2026-08-11T19:34:15.583481+00:00,pwc-uk,PwC,United Kingdom,https://www.pwc.co.uk/careers.html,40,,,0.0,0.0
2026-08-11T19:34:46.617433+00:00,pwc-nordics,PwC,Nordics,https://www.pwc.com/gx/en/careers.html,7,,,0.0,0.0
2026-08-11T19:34:50.772839+00:00,ey-cz,EY,Czechia,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,40,,,12.0,11.0
2026-08-11T19:36:00.373487+00:00,ey-de,EY,Germany,https://careers.ey.com/ey/search/?q=finance&locationsearch=Germany,40,,,25.0,22.0
2026-08-11T19:37:06.158891+00:00,ey-at,EY,Austria,https://careers.ey.com/ey/search/?q=finance&locationsearch=Austria,40,,,14.0,14.0
2026-08-11T19:38:11.846812+00:00,ey-ch,EY,Switzerland,https://careers.ey.com/ey/search/?q=finance&locationsearch=Switzerland,40,,,25.0,25.0
2026-08-11T19:39:17.894880+00:00,ey-uk,EY,United Kingdom,https://careers.ey.com/ey/search/?q=finance&locationsearch=United%20Kingdom,40,,,25.0,25.0
2026-08-11T19:40:24.801292+00:00,ey-se,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Sweden,40,,,5.0,5.0
2026-08-11T19:41:30.071182+00:00,ey-dk,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Denmark,40,,,1.0,1.0
2026-08-11T19:42:35.288639+00:00,ey-no,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Norway,40,,,1.0,0.0
2026-08-11T19:43:41.728826+00:00,ey-fi,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Finland,40,,,4.0,4.0
2026-08-11T19:44:47.350407+00:00,deloitte-cz,Deloitte,Czechia,https://www.deloitte.com/cz-sk/en/careers.html,40,,,0.0,0.0
2026-08-11T19:45:59.662696+00:00,deloitte-de,Deloitte,Germany,https://jobs.deloitte.de/search/?q=finance&locationsearch=Germany,40,,,12.0,12.0
2026-08-11T19:46:53.268870+00:00,deloitte-at,Deloitte,Austria,https://www.deloitte.com/at/de/careers.html,40,,,0.0,0.0
2026-08-11T19:47:31.554373+00:00,deloitte-ch,Deloitte,Switzerland,https://www.deloitte.com/ch/en/careers.html,40,,,0.0,0.0
2026-08-11T19:48:17.023554+00:00,deloitte-uk,Deloitte,United Kingdom,https://www.deloitte.com/uk/en/careers.html,40,,,0.0,0.0
2026-08-11T19:48:55.257123+00:00,deloitte-nordics,Deloitte,Nordics,https://www.deloitte.com/global/en/careers.html,29,,,0.0,0.0
2026-08-11T19:49:15.228518+00:00,kpmg-cz,KPMG,Czechia,https://kpmg.com/cz/en/home/careers.html,2,,,0.0,0.0
2026-08-11T19:49:17.054221+00:00,kpmg-de,KPMG,Germany,https://karriere.kpmg.de/stellenboerse.html,1,,https://karriere.kpmg.de/stellenboerse.html: HTTPError,0.0,0.0
2026-08-11T19:49:18.035267+00:00,kpmg-at,KPMG,Austria,https://kpmg.com/at/en/home/careers.html,1,,https://kpmg.com/at/en/home/careers.html: HTTPError,0.0,0.0
