canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
agrofert,Agrofert,,Agrofert Group; AGROFERT,Holding & Conglomerate,Czechia,Prague; Czech Republic; Germany,Industrial / Agriculture Holding,"Large Czech group with treasury, controlling, M&A, energy and portfolio-finance possibilities across subsidiaries.",https://www.agrofert.cz/en/career,Canonical holding with subsidiary career sources,Unrated,
csg,Czechoslovak Group,,CSG; Czechoslovak Group; CSG companies,Holding & Conglomerate,Czechia,Prague; Czech Republic; European portfolio,Industrial / Defence Holding,"Fast-growing Czech industrial group with corporate finance, M&A, treasury, strategy and portfolio roles.",https://czechoslovakgroup.com/en/career,Canonical parent with operating-company sources,Unrated,
cpi-property-group,CPI Property Group,,CPI PG; CPI Property Group,Holding & Conglomerate,Multi-region,Prague; Berlin; Vienna; CEE,Real Estate Holding,"Direct regional source for treasury, financing, capital markets, M&A, portfolio analytics and group finance.",https://www.cpipg.com/careers,Canonical parent with local property-company sources,Unrated,
investor-ab,Investor AB,,Investor; Investor AB; Patricia Industries,Holding & Conglomerate,Nordics,Stockholm; Nordic portfolio,Investment Holding,"High-interest Nordic holding company for portfolio analysis, investments, strategy and ownership work.",https://www.investorab.com/career/,Canonical holding plus portfolio-company monitoring,Unrated,
industrivarden,Industrivärden,,Industrivarden; AB Industrivärden,Holding & Conglomerate,Nordics,Stockholm; Nordic portfolio,Investment Holding,"Focused listed Nordic owner with portfolio analysis, investment and active-ownership relevance.",https://www.industrivarden.se/en-gb/career/,Canonical holding with portfolio-company relationships,Unrated,
kinnevik,Kinnevik,,Kinnevik AB,Holding & Conglomerate,Nordics,Stockholm; London; European portfolio,Growth Investment Holding,"Nordic growth-investment platform with portfolio, strategy, capital allocation and analytics relevance.",https://www.kinnevik.com/careers,Canonical parent plus portfolio-company signals,Unrated,
exor,Exor,,EXOR; Exor N.V.,Holding & Conglomerate,Multi-region,Amsterdam; London; European portfolio,Investment Holding,"Large European holding for capital allocation, investment analysis, portfolio strategy and corporate finance.",https://www.exor.com/pages/exor/careers,Canonical holding plus controlled-company sources,Unrated,
porsche-se,Porsche Automobil Holding,,Porsche SE; Porsche Automobil Holding SE,Holding & Conglomerate,Germany,Stuttgart; European portfolio,Investment Holding / Automotive,"Relevant for investment management, strategy, finance and portfolio oversight; connect Porsche AG and Porsche Consulting entities.",https://www.porsche-se.com/en/company/career,Canonical holding with linked operating-company sources,Unrated,
ap-moller-holding,A.P. Moller Holding,,A.P. Møller Holding; A.P. Moller Holding,Holding & Conglomerate,Nordics,Copenhagen; global portfolio,Investment Holding,"High-interest Danish holding for investments, capital allocation, portfolio strategy and ownership roles.",https://apmoller.com/careers/,Canonical holding linked to Maersk and portfolio companies,Unrated,
aker-asa,Aker ASA,,,Holding & Conglomerate,Norway,Oslo,Industrial Investment Holding Conglomerate,Publicly listed Norwegian industrial holding company with its own group treasury function and an active portfolio-finance/investment team.,,Monitor akerasa.com and LinkedIn; also check portfolio companies individually,Unrated,
