canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
goldman-sachs,Goldman Sachs,,Goldman Sachs Group,Investment Banking,Multi-region,"London, Frankfurt, Zurich",Global Investment Bank / Markets / Asset Management,"Major global platform for M&A, capital markets, markets, investing and analytical finance roles; highly selective but directly relevant.",https://www.goldmansachs.com/careers/,Global careers page; filter Europe locations and experienced-hire roles.,Unrated,
morgan-stanley,Morgan Stanley,,Morgan Stanley Group,Investment Banking,Multi-region,"London, Frankfurt, Zurich",Global Investment Bank / Markets / Wealth Management,"Strong source for investment banking, research, markets, risk, strategy and finance roles across major European centres.",https://www.morganstanley.com/people-opportunities,Global careers page; monitor Europe and experienced-professional searches.,Unrated,
jpmorgan-chase,JPMorgan Chase,,JPMorgan; J.P. Morgan; JPMorgan Chase & Co.,Investment Banking,Multi-region,"London, Frankfurt, Zurich",Global Investment Bank / Corporate Banking / Markets,"Broad platform spanning investment banking, corporate banking, markets, treasury services, risk, data and internal finance.",https://careers.jpmorgan.com/global/en/home,Use one parent company and retain division and location as vacancy attributes.,Unrated,
citigroup,Citi,,Citigroup; Citibank,Investment Banking,Multi-region,"London, Frankfurt, Zurich",Global Investment Bank / Markets / Transaction Services,"Relevant for corporate and investment banking, markets, treasury and trade solutions, risk, data and finance roles.",https://jobs.citi.com/,Global jobs search; filter target countries and avoid heavily client-sales tracks.,Unrated,
bank-of-america,Bank of America,,BofA; Bank of America Merrill Lynch; BofA Securities,Investment Banking,Multi-region,"London, Frankfurt, Zurich",Global Investment Bank / Markets / Corporate Banking,"Useful source for investment banking, capital markets, corporate banking, markets, risk and finance positions in Europe.",https://careers.bankofamerica.com/en-us,Global careers page; prioritize experienced roles in target offices.,Unrated,
lazard,Lazard,,Lazard Ltd; Lazard Frères,Investment Banking,Multi-region,"London, Frankfurt, Zurich",Independent Investment Bank / Financial Advisory,"Advisory-led platform focused on M&A, restructuring, capital structure and related analytical work, with a separate asset-management business.",https://www.lazard.com/careers/,Monitor financial-advisory careers by European office.,Unrated,
rothschild-co,Rothschild & Co,,Rothschild; Rothschild Global Advisory,Investment Banking,Multi-region,"London, Frankfurt, Munich, Zurich",Independent Investment Bank / Global Advisory,"European advisory house for M&A, financing and restructuring, plus wealth and asset management; strong regional office network.",https://www.rothschildandco.com/en/careers/,Use canonical parent and capture Global Advisory or other division per vacancy.,Unrated,
evercore,Evercore,,Evercore Inc.,Investment Banking,Multi-region,"London, Frankfurt",Independent Investment Bank / Advisory,"Focused advisory platform for M&A, restructuring and capital markets with lean teams and high analytical intensity.",https://www.evercore.com/careers/,Monitor experienced-hire openings in London and Frankfurt.,Unrated,
jefferies,Jefferies,,Jefferies Financial Group,Investment Banking,Multi-region,"London, Frankfurt",Investment Bank / Capital Markets / Research,"Full-service investment bank with advisory, capital markets, sales and trading, and equity research roles.",https://www.jefferies.com/careers/,Global careers page; filter Europe and relevant analytical functions.,Unrated,
houlihan-lokey,Houlihan Lokey,,Houlihan Lokey Inc.,Investment Banking,Multi-region,"London, Frankfurt, Munich, Zurich",Financial Advisory / Restructuring / Valuation,"Especially relevant for restructuring, transaction advisory, valuation and mid-market corporate-finance work.",https://hl.com/careers/,Monitor European corporate-finance and financial-restructuring teams.,Unrated,
