source_id,canonical_company_id,company,market,priority_locations,seed_url,adapter,cadence_days,enabled
bain-global,bain,Bain & Company,Multi-region,"Munich; Berlin; Frankfurt; Vienna; Zurich; Stockholm; Copenhagen; Oslo; Helsinki; London",https://www.bain.com/careers/find-a-role/,generic,1,true
roland-berger-global,roland-berger,Roland Berger,Multi-region,"Prague; Munich; Berlin; Frankfurt; Hamburg; Vienna; Zurich; Stockholm; London",https://www.rolandberger.com/en/Join/All-Jobs/,smartrecruiters,1,true
oliver-wyman-global,oliver-wyman,Oliver Wyman,Multi-region,"Munich; Berlin; Frankfurt; Hamburg; Zurich; Stockholm; Copenhagen; London",https://careers.marsh.com/global/en/oliver-wyman,phenom,1,true
alvarez-marsal-global,alvarez-marsal,Alvarez & Marsal,Multi-region,"Munich; Frankfurt; Hamburg; Dusseldorf; Zurich; Stockholm; London",https://careers.alvarezandmarsal.com/,selectminds,1,true
alixpartners-global,alixpartners,AlixPartners,Multi-region,"Munich; Dusseldorf; Zurich; London",https://job-boards.greenhouse.io/alixpartners,greenhouse,1,true
fti-consulting-global,fti-consulting,FTI Consulting,Multi-region,"Frankfurt; Munich; Zurich; London",https://fticonsult.referrals.selectminds.com/,selectminds,1,true
lek-global,lek-consulting,L.E.K. Consulting,Multi-region,"Munich; London; Nordics",https://www.lek.com/careers,generic,1,true
horvath-global,horvath,Horváth,Multi-region,"Munich; Berlin; Frankfurt; Hamburg; Vienna; Zurich",https://horvath.wd3.myworkdayjobs.com/en-US/Horvath_Careers,workday,1,true
zeb-global,zeb-consulting,zeb consulting,Multi-region,"Berlin; Frankfurt; Hamburg; Munich; Vienna; Zurich; Stockholm; Copenhagen; Oslo; London",https://career.zeb-consulting.com/jobs/,successfactors,1,true
capco-global,capco,Capco,Multi-region,"Prague; Brno; Berlin; Dusseldorf; Frankfurt; Munich; Vienna; Zurich; London",https://job-boards.greenhouse.io/capco,greenhouse,1,true
