canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
rwe,RWE,,RWE Group; RWE Supply & Trading; RWE Renewables,Corporate,Germany,"Essen; Hamburg; Berlin; London",Energy / Trading / Treasury,"High-priority energy platform for commodity trading, risk, treasury, investments, renewables and corporate finance.",https://www.rwe.com/en/rwe-careers-portal/,Canonical group with business-unit and country sources,Unrated,
eon,E.ON,,E.ON Group; E.ON Energy Markets,Corporate,Germany,"Essen; Munich; Berlin; Hamburg; London",Energy / Finance / Trading,"Strong source for energy markets, treasury, corporate finance, strategy, FP&A and data.",https://careers.eon.com/,Global group ATS with entity and location filters,Unrated,
enbw,EnBW,,EnBW Energie Baden-Württemberg; EnBW Trading,Corporate,Germany,"Karlsruhe; Stuttgart; Hamburg",Energy / Trading / Finance,"Relevant German utility for energy trading, risk, treasury, investments and group finance; German often important.",https://karriere.enbw.com/,Group portal with business-unit sources,Unrated,
uniper,Uniper,,Uniper SE; Uniper Global Commodities,Corporate,Germany,"Dusseldorf; Berlin; London",Energy / Commodities / Treasury,"Direct fit for commodity markets, trading analytics, risk, treasury and energy strategy.",https://jobs.uniper.energy/,Global group ATS with function and location filters,Unrated,
vattenfall,Vattenfall,,Vattenfall Group,Corporate,Multi-region,"Berlin; Hamburg; Stockholm; London",Energy / Trading / Renewables,"Strong Germany-Nordics bridge for energy trading, risk, finance, renewables and strategy.",https://careers.vattenfall.com/,Canonical group portal with country filters,Unrated,
statkraft,Statkraft,,Statkraft Group; Statkraft Markets,Corporate,Nordics,"Oslo; Dusseldorf; London",Energy / Trading / Investments,"High-fit Nordic energy source for markets, origination analytics, risk, investments and treasury.",https://www.statkraft.com/careers/,Global group portal with business and location filters,Unrated,
fortum,Fortum,,Fortum Group,Corporate,Nordics,"Espoo; Stockholm; Oslo",Energy / Finance / Trading,"Nordic utility platform for energy markets, treasury, investments, strategy and finance.",https://www.fortum.com/about-us/careers,Canonical group with location filters,Unrated,
neste,Neste,,Neste Oyj,Corporate,Nordics,"Espoo; Rotterdam; European offices",Energy Transition / Finance,"Relevant for renewables, commodity risk, investment cases, treasury and strategy in an English-speaking Nordic group.",https://www.neste.com/careers,Global company portal with location filters,Unrated,
mol,MOL Group,,MOL; MOL Group,Corporate,Multi-region,"Budapest; Prague and CEE; European offices",Energy / Trading / Corporate Finance,"CEE energy platform with commodity, treasury, M&A, FP&A and strategy roles.",https://molgroup.info/en/careers,Canonical group portal with country entities,Unrated,
shell,Shell,,Shell plc; Shell Energy; Shell Trading,Corporate,Multi-region,"London; Hamburg; Rotterdam; European offices",Energy / Trading / Treasury,"Large global source for commodity trading, risk, treasury, investments, strategy and data.",https://www.shell.com/careers.html,Global parent ATS; dedupe Shell entity and business repostings,Unrated,
bp,bp,,BP; bp Trading & Shipping,Corporate,Multi-region,"London; Bochum; Hamburg; European offices",Energy / Trading / Finance,"Strong source for trading, risk, treasury, low-carbon investments, strategy and finance.",https://www.bp.com/en/global/corporate/careers.html,Global parent portal with business filters,Unrated,
totalenergies,TotalEnergies,,Total; TotalEnergies,Corporate,Multi-region,"Berlin; Copenhagen; London; European offices",Energy / Trading / Investments,"Relevant for commodity markets, renewables, investment analysis, treasury and corporate finance.",https://careers.totalenergies.com/,Global ATS with business and location filters,Unrated,
trafigura,Trafigura,,Trafigura Group,Corporate,Multi-region,"Geneva; London; European offices",Commodity Trading / Finance,"High-interest source for commodity trading, market analytics, risk, treasury and structured finance.",https://www.trafigura.com/careers/,Global group portal with office filters,Unrated,
vitol,Vitol,,Vitol Group,Corporate,Multi-region,"Geneva; London",Commodity Trading / Investments,"High-upside commodities platform for markets, analytics, risk, treasury and energy investments.",https://www.vitol.com/careers/,Single global group portal,Unrated,
glencore,Glencore,,Glencore plc; Glencore International,Corporate,Switzerland,"Baar; London; European offices",Commodities / Trading / Finance,"Strong Swiss commodities source for trading analytics, risk, treasury, investments and corporate finance.",https://www.glencore.com/careers,Global parent portal with commodity and office filters,Unrated,
