opportunity_id,feedback,comment,updated_at
6a3bb439ae527fed,Interested,Manager maybe to senior role for me ,2026-08-11T21:10:52.881580+00:00
929cb39a4c4fa85a,Interested,Ok but not so Accounting ,2026-08-11T21:10:52.881580+00:00
75d9b6a4f0633714,Interested,But not compliance risk more financial,2026-08-11T21:10:52.881580+00:00
2db29a52b340fbdc,Interested,"Ok, again accounting ",2026-08-11T21:10:52.881580+00:00
5e2e7c865c65ccd3,Pass,Too junior role ,2026-08-11T21:10:52.881580+00:00
dca4bb0ee41c07c3,Maybe,kind of boring description,2026-08-11T21:10:52.881580+00:00
8bf53af8ef2a6768,Maybe,not much expertise in trade finance ,2026-08-11T21:10:52.881580+00:00
2f61c5f0553a809a,Maybe,same as above ,2026-08-11T21:10:52.881580+00:00
2e6213c4207f9db7,Interested,"Accounting, but why not ",2026-08-11T21:10:52.881580+00:00
094141c243c31839,Maybe,No experience in SAP,2026-08-11T21:10:52.881580+00:00
c2ca9c8e2a653a9a,Pass,Too Junior,2026-08-11T21:10:52.881580+00:00
69f0eedce8b96c14,Pass,Too senior while no expereicne in SAP,2026-08-11T21:10:52.881580+00:00
1b40a7f72ba6c887,Interested,"Interesting, seniority also OK",2026-08-11T21:10:52.881580+00:00
c04da36cdb35c18d,Unrated,This is error not job role,2026-08-11T21:10:52.881580+00:00
8c7adc3e334f5783,Unrated,Error,2026-08-11T21:10:52.881580+00:00
8c0cccf80da8cc0d,Interested,Interesting description,2026-08-11T21:10:52.881580+00:00
a238bb3e5c2a81d7,Maybe,No experience in infrastrucute but interesting,2026-08-11T21:10:52.881580+00:00
47d9f2c5d098094e,Interested,Interesting Senior Consultant roles looks as good fit,2026-08-11T21:10:52.881580+00:00
c7239f1ae1d05260,Maybe,Not sure with description and fit ,2026-08-11T21:10:52.881580+00:00
302a901d05edaa48,Pass,HR pass,2026-08-11T21:10:52.881580+00:00
a0fc07c180a4cc2d,Pass,Asistent Director is too senior,2026-08-11T21:10:52.881580+00:00
2589678e6efa7184,Pass,Interna services jobs not suitable,2026-08-11T21:10:52.881580+00:00
393077364061efa7,Pass,No interest in taxes,2026-08-11T21:10:52.881580+00:00
8f70e59c3b0b9662,Pass,"Too senior, sector is good",2026-08-11T21:10:52.881580+00:00
4f39e49255cf5290,Pass,Same as above,2026-08-11T21:10:52.881580+00:00
c095c32e4dad5229,Pass,Same as above,2026-08-11T21:10:52.881580+00:00
6ac9e3019faba7d5,Pass,Interesting but too senior role,2026-08-11T21:10:52.881580+00:00
9a279dc9a21f94e5,Pass,Same as above,2026-08-11T21:10:52.881580+00:00
cc0bff4e07921dbd,Pass,No taxes,2026-08-11T21:10:52.881580+00:00
bf2018a2da38f8d3,Pass,"Not much experience in technoloy, manager is too senior",2026-08-11T21:10:52.881580+00:00
a4498c83195a6891,Maybe,Might be interesting ,2026-08-11T21:10:52.881580+00:00
49fa580dfc20af5c,Pass,"Too senior, sector OK",2026-08-11T21:10:52.881580+00:00
fd5e2e30d71ddf9e,Pass,"Too senior, sector OK",2026-08-11T21:10:52.881580+00:00
c053a08a179d25f1,Pass,"Too senior, sector OK",2026-08-11T21:10:52.881580+00:00
258f82b358c03dfc,Pass,"Too senior, sector OK",2026-08-11T21:10:52.881580+00:00
cb48d429c4f26304,Pass,Tax no,2026-08-11T21:10:52.881580+00:00
4767dad5b24f605c,Pass,Tax,2026-08-11T21:10:52.881580+00:00
f918c2f0e0791d4e,Pass,Not interesting topic ,2026-08-11T21:10:52.881580+00:00
103c5d4a0e6663aa,Unrated,,2026-08-11T21:10:52.881580+00:00
1cf31f755a77310f,Unrated,,2026-08-11T21:10:52.881580+00:00
0b223f8338847c96,Unrated,,2026-08-11T21:10:52.881580+00:00
98a6746c2c92416d,Unrated,,2026-08-11T21:10:52.881580+00:00
45693032e6193a14,Unrated,,2026-08-11T21:10:52.881580+00:00
6e854a2ca16fec92,Unrated,,2026-08-11T21:10:52.881580+00:00
6c3e350c7466a2e7,Unrated,,2026-08-11T21:10:52.881580+00:00
22a19be6f968f5f7,Unrated,,2026-08-11T21:10:52.881580+00:00
996f717c55bd25a9,Unrated,,2026-08-11T21:10:52.881580+00:00
51cbff0d665cc01d,Unrated,,2026-08-11T21:10:52.881580+00:00
285943c681880a7f,Unrated,,2026-08-11T21:10:52.881580+00:00
4c7b19959d47194a,Unrated,,2026-08-11T21:10:52.881580+00:00
40ca34ed851d40b2,Unrated,,2026-08-11T21:10:52.881580+00:00
82913b81382027f6,Unrated,,2026-08-11T21:10:52.881580+00:00
3bdd1451d667d185,Unrated,,2026-08-11T21:10:52.881580+00:00
f44f8a2c0ab58f30,Unrated,,2026-08-11T21:10:52.881580+00:00
5b6fa6587061dcf6,Unrated,,2026-08-11T21:10:52.881580+00:00
1f9f9ffce2320b24,Unrated,,2026-08-11T21:10:52.881580+00:00
c3fd95d70d911c69,Unrated,,2026-08-11T21:10:52.881580+00:00
d5a06c8fbd2f2b31,Unrated,,2026-08-11T21:10:52.881580+00:00
b4319651764e1b94,Unrated,,2026-08-11T21:10:52.881580+00:00
fe7d53279af729e6,Unrated,,2026-08-11T21:10:52.881580+00:00
eb243c8ab6a49a5d,Unrated,,2026-08-11T21:10:52.881580+00:00
9490153fba968256,Unrated,,2026-08-11T21:10:52.881580+00:00
5ef851c6c4cff616,Unrated,,2026-08-11T21:10:52.881580+00:00
2da049ac42563ced,Unrated,,2026-08-11T21:10:52.881580+00:00
a72a51305eb61599,Unrated,,2026-08-11T21:10:52.881580+00:00
a244bad6b2b25526,Unrated,,2026-08-11T21:10:52.881580+00:00
b86d54d20ffbce8e,Unrated,,2026-08-11T21:10:52.881580+00:00
997ec4b84780e345,Unrated,,2026-08-11T21:10:52.881580+00:00
84be9739201c5d69,Unrated,,2026-08-11T21:10:52.881580+00:00
060cc5db023cc8e0,Unrated,,2026-08-11T21:10:52.881580+00:00
a8edfb7850081ee3,Unrated,,2026-08-11T21:10:52.881580+00:00
3df00719900c65ba,Unrated,,2026-08-11T21:10:52.881580+00:00
1544b693c7de9b0e,Unrated,,2026-08-11T21:10:52.881580+00:00
8e10a4d7a0ef853c,Unrated,,2026-08-11T21:10:52.881580+00:00
e3465b4f2ba39e27,Unrated,,2026-08-11T21:10:52.881580+00:00
527d82b47865b1e8,Unrated,,2026-08-11T21:10:52.881580+00:00
e0b9ee391f202423,Unrated,,2026-08-11T21:10:52.881580+00:00
b5b66258ebb101d2,Unrated,,2026-08-11T21:10:52.881580+00:00
7e2f91864561bcff,Unrated,,2026-08-11T21:10:52.881580+00:00
a916b4567772678d,Unrated,,2026-08-11T21:10:52.881580+00:00
de67f38154029572,Unrated,,2026-08-11T21:10:52.881580+00:00
1eefb2dd3571cbc5,Unrated,,2026-08-11T21:10:52.881580+00:00
ffa738c40a93f2fd,Unrated,,2026-08-11T21:10:52.881580+00:00
af3d4df737a7198a,Unrated,,2026-08-11T21:10:52.881580+00:00
554cd7eb4cba21d5,Unrated,,2026-08-11T21:10:52.881580+00:00
96655eb19801ea6f,Unrated,,2026-08-11T21:10:52.881580+00:00
fe87a79aaeb32db5,Maybe,Also Interesting,2026-08-11T21:10:52.881580+00:00
d49bf28a3a584252,Maybe,Interest field not much experience,2026-08-11T21:10:52.881580+00:00
6546330e37896dca,Pass,Junior,2026-08-11T21:10:52.881580+00:00
2d1052a18e58aad0,Pass,Junior,2026-08-11T21:10:52.881580+00:00
e6de034d3fda1bd6,Pass,Junior,2026-08-11T21:10:52.881580+00:00
b706fcdeb1126d31,Pass,Junior,2026-08-11T21:10:52.881580+00:00
e40dbdbcd4302aeb,Pass,Too junior,2026-08-11T21:10:52.881580+00:00
d5ff425dfc0c4790,Pass,Too junior,2026-08-11T21:10:52.881580+00:00
f0d64058a4828ea2,Interested,Interesting,2026-08-11T21:10:52.881580+00:00
aa7c452578b7ecf8,Maybe,No expereicne in SAP,2026-08-11T21:10:52.881580+00:00
028f21f1dea31e24,Interested,Interesting,2026-08-11T21:10:52.881580+00:00
3530f82d932ed104,Pass,Too junior,2026-08-11T21:10:52.881580+00:00
91964ba89c0d561b,Pass,"Too junior, sector OK",2026-08-11T21:10:52.881580+00:00
f6eff502fb34fd48,Maybe,Might be interesting,2026-08-11T21:10:52.881580+00:00
b9870c6ed1168814,Maybe,Might be interestng,2026-08-11T21:10:52.881580+00:00
6cfea483095946b2,Pass,Too junior,2026-08-11T21:10:52.881580+00:00
03a3a5ae39fb698f,Pass,Too junior,2026-08-11T21:10:52.881580+00:00
27557524c1f41d1d,Pass,No taxes,2026-08-11T21:10:52.881580+00:00
76611cba0a458767,Pass,No taxes,2026-08-11T21:10:52.881580+00:00
5d8a392ce013f569,Maybe,"Too junior, sector OK",2026-08-11T21:10:52.881580+00:00
035fd96e2c0f8b12,Pass,Not into forensic,2026-08-11T21:10:52.881580+00:00
